date,exportedTo,weightKg
2012-12-20,Macau,47.2
2012-12-20,Macau,47.9
2012-12-20,Macau,48.4
2012-12-20,Macau,46.2
2012-12-13,Hong Kong,73.7
2012-12-13,Hong Kong,51.2
2012-12-13,Hong Kong,57.4
2012-12-13,Hong Kong,56.9
2012-12-13,Hong Kong,271
2012-12-13,Hong Kong,115.6
2012-12-13,Hong Kong,68.6
2012-12-06,Macau,45
2012-12-06,Macau,78
2012-12-06,Macau,47
2012-12-06,Macau,47.8
2012-12-06,Macau,72
2012-12-04,Macau,44.9
2012-12-04,Macau,45.6
2012-12-04,Macau,45.3
2012-12-04,Macau,50
2012-11-29,USA,32.9
2012-11-29,USA,33.2
2012-11-29,USA,40.2
2012-11-29,USA,33.5
2012-11-29,USA,33.7
2012-10-29,Macau,49.4
2012-10-29,Macau,42.8
2012-10-29,Macau,50.8
2012-10-29,Macau,42.3
2012-10-26,Hong Kong,108.9
2012-10-26,Hong Kong,107.1
2012-10-26,Hong Kong,114.6
2012-10-26,Hong Kong,95.6
2012-10-26,Hong Kong,88.4
2012-10-26,Hong Kong,90.3
2012-10-26,Hong Kong,88.4
2012-10-26,Hong Kong,92.7
2012-10-11,Hong Kong,67.3
2012-10-11,Hong Kong,58
2012-10-11,Hong Kong,53.7
2012-10-11,Hong Kong,56
2012-10-11,Hong Kong,55.6
2012-10-11,Hong Kong,287.7
2012-10-11,Hong Kong,266.5
2012-10-11,Hong Kong,104
2012-10-11,Hong Kong,191
2012-09-24,Macau,57.3
2012-09-24,Macau,73.2
2012-09-24,Macau,35.3
2012-09-24,Macau,45
2012-09-24,Macau,45.4
2012-09-24,Macau,40.8
2012-09-21,Hong Kong,97.8
2012-09-21,Hong Kong,106.4
2012-09-21,Hong Kong,85.7
2012-09-21,Hong Kong,112
2012-09-21,Hong Kong,95.7
2012-09-21,Hong Kong,103.1
2012-09-21,Macau,49.1
2012-09-21,Macau,45.5
2012-09-21,Macau,40.5
2012-09-21,Macau,42.7
2012-08-31,Hong Kong,108.8
2012-08-31,Hong Kong,137
2012-08-31,Hong Kong,122.6
2012-08-31,Hong Kong,134.1
2012-08-31,Hong Kong,138.3
2012-08-31,Hong Kong,109.1
2012-08-31,Hong Kong,94.9
2012-08-30,Macau,27.3
2012-08-23,Macau,47.9
2012-08-23,Macau,50.8
2012-08-23,Macau,46.2
2012-08-15,Macau,46
2012-08-15,Macau,51.5
2012-08-08,Macau,49.3
2012-08-08,Macau,49.4
2012-08-08,Macau,48.1
2012-08-08,Macau,41.1
2012-08-08,Macau,53.3
2012-08-08,Macau,50.1
2012-08-08,Macau,47.9
2012-08-08,Macau,43.4
2012-08-08,Hong Kong,251.9
2012-08-08,Hong Kong,231.6
2012-08-08,Hong Kong,223.3
2012-08-08,Hong Kong,234.3
2012-08-08,Hong Kong,128.4
2012-08-08,Hong Kong,162.6
2012-07-18,Hong Kong,120.8
2012-07-18,Hong Kong,146.1
2012-07-18,Hong Kong,161.1
2012-07-18,Hong Kong,134.5
2012-07-18,Hong Kong,328.3
2012-07-18,Hong Kong,305.5
2012-07-18,Hong Kong,128.8
2012-07-18,Hong Kong,130.8
2012-07-05,Macau,46.6
2012-07-05,Macau,47.2
2012-07-05,Macau,53.3
2012-06-22,Macau,47.4
2012-06-22,Macau,48.9
2012-06-22,Macau,46.6
2012-06-22,Macau,51.5
2012-06-22,Macau,48.1
2012-06-22,Macau,45.8
2012-06-22,Macau,54.2
2012-05-30,Macau,36.8
2012-05-30,Macau,47.1
2012-05-30,Macau,51.4
2012-05-28,Macau,41.6
2012-04-27,Macau,53.0
2012-04-27,Macau,47.7
2012-04-27,Macau,40.7
2012-04-27,Macau,31.9
2012-04-27,Macau,36.8
2012-04-27,Macau,40.0
2012-04-27,Macau,49.3
2012-04-27,Macau,40.3
2012-04-27,Macau,44.7
2012-04-27,Macau,54.7
2012-04-27,Macau,53.4
2012-04-27,Macau,41.2
2012-04-27,Macau,46.1
2012-04-27,Macau,46.3
2012-04-18,Macau,48.3
2012-03-23,Macau,36.2
2012-03-23,Macau,36.7
2012-03-07,Macau,54.2
2012-03-07,Macau,53.4
2012-03-07,Macau,45.3
2012-03-07,Macau,55.8
2012-03-07,Macau,50.1
2012-03-07,Macau,91.7
2012-03-07,Macau,55.2
2012-03-07,Macau,49.5
2012-02-22,Macau,36.4
2012-02-20,Macau,66.6
