year,country,countryJP,amount,value
2012,Hong Kong,香港,194142,925824
2012,Thailand,タイ,7212,45767
2012,Singapore,シンガポール,55127,337623
2012,Macau,マカオ,15023,123373
2012,Canada,カナダ,3174,25290
2012,USA,アメリカ合衆国,43774,328201
2012,Mongolia,モンゴル,34,293
2012,Hong Kong,香港,100583,533451
2012,Thailand,タイ,7546,40131
2012,Singapore,シンガポール,8347,42404
2012,Philippines,フィリピン,53,316
2012,Cambodia,カンボジア,250663,1508910
2012,Laos,ラオス,158684,1088460
2012,Bangladesh,バングラデシュ,22379,137911
2012,Macau,マカオ,75882,513988
2012,UAE,アラブ首長国連邦,469,3916
2012,Tajikistan,タジキスタン,1957,14253
2013,Hong Kong,香港,206848,1084454
2013,Thailand,タイ,18906,112785
2013,Singapore,シンガポール,80810,520880
2013,Laos,ラオス,100,271
2013,Macau,マカオ,13499,129795
2013,Netherlands,オランダ,75,566
2013,Germany,ドイツ,97,1196
2013,Spain,スペイン,94,887
2013,Canada,カナダ,6782,57355
2013,USA,アメリカ合衆国,116888,908666
2013,Mexico,メキシコ,277,2143
2013,Bangladesh,バングラデシュ,3104,18588
2013,UAE,アラブ首長国連邦,718,1758
2013,Mongolia,モンゴル,80036,534380
2013,Hong Kong,香港,91501,535848
2013,Thailand,タイ,20394,117921
2013,Singapore,シンガポール,11481,65343
2013,Philippines,フィリピン,56,424
2013,Cambodia,カンボジア,182457,1263943
2013,Laos,ラオス,20285,148740
2013,Bangladesh,バングラデシュ,13988,81457
2013,Macau,マカオ,42619,292015
2013,Kuwait,クウェート,209,1049
2013,Jordan,ヨルダン,6,312
2013,UAE,アラブ首長国連邦,624,4923
2013,Tajikistan,タジキスタン,3657,28422
2013,Micronesia,ミクロネシア,147,684
2014,Hong Kong,香港,270627,1357970
2014,Vietnam,ベトナム,3578,18223
2014,Thailand,タイ,35125,218064
2014,Singapore,シンガポール,115643,702491
2014,Philippines,フィリピン,5483,39157
2014,Indonesia,インドネシア,1211,5529
2014,Macau,マカオ,15175,149863
2014,UAE,アラブ首長国連邦,1264,11439
2014,Denmark,デンマーク,95,890
2014,British,英国,17693,150086
2014,Netherlands,オランダ,19092,147245
2014,Belgium,ベルギー,5550,51016
2014,France,フランス,1879,14518
2014,Monaco,モナコ,11626,117842
2014,Germany,ドイツ,20416,195104
2014,Switzerland,スイス,1337,21020
2014,Spain,スペイン,1037,7915
2014,Italy,イタリア,176,1802
2014,Russia,ロシア,247,2005
2014,Canada,カナダ,9551,86256
2014,USA,アメリカ合衆国,166042,1350614
2014,Mexico,メキシコ,1537,11227
2014,new zealand,ニュージーランド,2128,16275
2014,Mongolia,モンゴル,29208,198410
2014,Hong Kong,香港,166890,963718
2014,Vietnam,ベトナム,13150,76299
2014,Thailand,タイ,43110,232027
2014,Singapore,シンガポール,22064,131854
2014,Philippines,フィリピン,333,2084
2014,Cambodia,カンボジア,247634,1701856
2014,Laos,ラオス,10827,67762
2014,Myanmar,ミャンマー,293,1273
2014,Bangladesh,バングラデシュ,4439,27363
2014,Macau,マカオ,41177,258578
2014,Qatar,カタール,2240,9432
2014,UAE,アラブ首長国連邦,2854,17021
2014,Tajikistan,タジキスタン,71420,501637
2014,USA,アメリカ合衆国,722,2347
2014,Micronesia,ミクロネシア,203,978
2015,Hong Kong,香港,351,1574
2015,Hong Kong,香港,358009,2006313
2015,Vietnam,ベトナム,2246,16907
2015,Thailand,タイ,33790,211293
2015,Singapore,シンガポール,132682,913317
2015,Philippines,フィリピン,11708,98989
2015,Macau,マカオ,9882,86465
2015,UAE,アラブ首長国連邦,954,4924
2015,Denmark,デンマーク,389,3125
2015,British,英国,43469,383058
2015,Netherlands,オランダ,38888,375232
2015,Belgium,ベルギー,10680,108537
2015,France,フランス,5134,38095
2015,Germany,ドイツ,20111,191392
2015,Switzerland,スイス,1334,17748
2015,Italy,イタリア,2233,21200
2015,Russia,ロシア,1999,16279
