year,country,_,_,_,_,_,_,amount,value
2017,香港,,KG,,,,,716,2404
2017,タイ,,KG,,,,,126,945
2017,アラブ首長国連邦,,KG,,,,,642,6741
2017,台湾,,KG,,,,,94121,857947
2017,香港,,KG,,,,,182324,1417332
2017,ベトナム,,KG,,,,,946,7571
2017,タイ,,KG,,,,,13997,116844
2017,シンガポール,,KG,,,,,98229,815366
2017,マレーシア,,KG,,,,,3394,30878
2017,フィリピン,,KG,,,,,5028,44360
2017,インドネシア,,KG,,,,,663,8239
2017,ラオス,,KG,,,,,8803,65027
2017,マカオ,,KG,,,,,11889,123549
2017,バーレーン,,KG,,,,,52,1252
2017,アラブ首長国連邦,,KG,,,,,150,2886
2017,デンマーク,,KG,,,,,1400,34766
2017,英国,,KG,,,,,33352,314316
2017,オランダ,,KG,,,,,37319,424863
2017,ベルギー,,KG,,,,,14318,159983
2017,フランス,,KG,,,,,6044,60639
2017,ドイツ,,KG,,,,,9902,95540
2017,スイス,,KG,,,,,1763,23593
2017,イタリア,,KG,,,,,5208,56492
2017,ロシア,,KG,,,,,2307,23525
2017,クロアチア,,KG,,,,,34,464
2017,カナダ,,KG,,,,,19968,205173
2017,アメリカ合衆国,,KG,,,,,242181,2134586
2017,メキシコ,,KG,,,,,4199,43108
2017,ニュージーランド,,KG,,,,,4469,36321
2017,台湾,,KG,,,,,84974,458624
2017,香港,,KG,,,,,141169,660082
2017,ベトナム,,KG,,,,,724,4673
2017,タイ,,KG,,,,,14928,77102
2017,シンガポール,,KG,,,,,49139,224123
2017,マレーシア,,KG,,,,,7553,41149
2017,フィリピン,,KG,,,,,2554,13360
2017,インドネシア,,KG,,,,,289,1860
2017,マカオ,,KG,,,,,1088,6626
2017,バーレーン,,KG,,,,,119,1642
2017,アラブ首長国連邦,,KG,,,,,113,1134
2017,英国,,KG,,,,,3784,23503
2017,オランダ,,KG,,,,,7920,49624
2017,ベルギー,,KG,,,,,2388,13815
2017,フランス,,KG,,,,,86,560
2017,ドイツ,,KG,,,,,836,4697
2017,スイス,,KG,,,,,68,504
2017,イタリア,,KG,,,,,2284,16223
2017,ロシア,,KG,,,,,759,5126
2017,クロアチア,,KG,,,,,107,852
2017,カナダ,,KG,,,,,2174,14344
2017,アメリカ合衆国,,KG,,,,,32835,163280
2017,メキシコ,,KG,,,,,747,4924
2017,ニュージーランド,,KG,,,,,475,3233
2017,台湾,,KG,,,,,44470,227978
2017,香港,,KG,,,,,44609,164918
2017,ベトナム,,KG,,,,,69,249
2017,タイ,,KG,,,,,3711,14856
2017,シンガポール,,KG,,,,,20795,72056
2017,マレーシア,,KG,,,,,4786,23322
2017,フィリピン,,KG,,,,,886,2836
2017,インドネシア,,KG,,,,,124,765
2017,マカオ,,KG,,,,,969,3313
2017,バーレーン,,KG,,,,,59,819
2017,アラブ首長国連邦,,KG,,,,,21,348
2017,英国,,KG,,,,,191,1079
2017,オランダ,,KG,,,,,1186,7108
2017,ベルギー,,KG,,,,,947,4068
2017,ドイツ,,KG,,,,,171,804
2017,イタリア,,KG,,,,,438,2253
2017,ロシア,,KG,,,,,57,363
2017,カナダ,,KG,,,,,66,570
2017,アメリカ合衆国,,KG,,,,,8327,37825
2017,メキシコ,,KG,,,,,96,454
2017,ニュージーランド,,KG,,,,,74,395
2017,台湾,,KG,,,,,112174,671459
2017,香港,,KG,,,,,68532,311699
2017,ベトナム,,KG,,,,,110,446
2017,タイ,,KG,,,,,3471,26542
2017,シンガポール,,KG,,,,,10176,63606
2017,マレーシア,,KG,,,,,1552,10067
2017,フィリピン,,KG,,,,,1108,12746
2017,ラオス,,KG,,,,,16303,111511
2017,マカオ,,KG,,,,,826,12348
2017,バーレーン,,KG,,,,,48,666
2017,アラブ首長国連邦,,KG,,,,,53,594
2017,デンマーク,,KG,,,,,1019,9729
2017,英国,,KG,,,,,2013,16725
2017,オランダ,,KG,,,,,2073,20029
2017,フランス,,KG,,,,,90,932
2017,ドイツ,,KG,,,,,3424,29265
2017,スイス,,KG,,,,,615,6549
2017,イタリア,,KG,,,,,600,4952
2017,ロシア,,KG,,,,,164,1561
2017,クロアチア,,KG,,,,,78,729
2017,カナダ,,KG,,,,,3230,30706
2017,アメリカ合衆国,,KG,,,,,44576,314626
2017,メキシコ,,KG,,,,,293,2817
2017,アラブ首長国連邦,,KG,,,,,236,2478
2017,台湾,,KG,,,,,24955,197260
2017,モンゴル,,KG,,,,,1540,13583
2017,香港,,KG,,,,,209784,1507802
2017,ベトナム,,KG,,,,,16124,145087
2017,タイ,,KG,,,,,62717,495188
2017,シンガポール,,KG,,,,,22909,138082
2017,マレーシア,,KG,,,,,692,3656
2017,フィリピン,,KG,,,,,4117,33345
2017,インドネシア,,KG,,,,,1989,11641
2017,カンボジア,,KG,,,,,490900,3785882
2017,ラオス,,KG,,,,,19664,148495
2017,ミャンマー,,KG,,,,,515,2683
2017,バングラデシュ,,KG,,,,,830,6383
2017,マカオ,,KG,,,,,41172,411180
2017,カタール,,KG,,,,,1052,21315
2017,アラブ首長国連邦,,KG,,,,,3184,44589
2017,タジキスタン,,KG,,,,,34949,292707
2017,ドイツ,,KG,,,,,756,6958
2017,アメリカ合衆国,,KG,,,,,72621,582461
2017,メキシコ,,KG,,,,,47,450
2017,ブラジル,,KG,,,,,43,410
2017,ニュージーランド,,KG,,,,,149,1426
2017,グアム（米）,,KG,,,,,207,1890
2017,北マリアナ諸島（米）,,KG,,,,,732,6494
2017,台湾,,KG,,,,,8737,45665
2017,香港,,KG,,,,,91928,412798
2017,ベトナム,,KG,,,,,8124,49805
2017,タイ,,KG,,,,,24143,113113
2017,シンガポール,,KG,,,,,26122,71556
2017,マレーシア,,KG,,,,,2022,10023
2017,フィリピン,,KG,,,,,828,4614
2017,インドネシア,,KG,,,,,5006,23909
2017,カンボジア,,KG,,,,,60532,368203
2017,ミャンマー,,KG,,,,,215,615
2017,マカオ,,KG,,,,,1551,7185
2017,アラブ首長国連邦,,KG,,,,,1900,12070
2017,タジキスタン,,KG,,,,,2470,13977
2017,アメリカ合衆国,,KG,,,,,14625,66289
2017,台湾,,KG,,,,,3570,17865
2017,香港,,KG,,,,,23726,101835
2017,ベトナム,,KG,,,,,4864,27464
2017,タイ,,KG,,,,,24869,101852
2017,シンガポール,,KG,,,,,12229,25328
2017,マレーシア,,KG,,,,,1146,5663
2017,フィリピン,,KG,,,,,102,367
2017,インドネシア,,KG,,,,,737,3372
2017,カンボジア,,KG,,,,,15678,100177
2017,マカオ,,KG,,,,,4348,21941
2017,アラブ首長国連邦,,KG,,,,,854,3906
2017,タジキスタン,,KG,,,,,4970,29551
2017,ドイツ,,KG,,,,,58,251
2017,アメリカ合衆国,,KG,,,,,2905,13737
2017,北マリアナ諸島（米）,,KG,,,,,89,745
2017,台湾,,KG,,,,,991,5075
2017,香港,,KG,,,,,7058,51930
2017,ベトナム,,KG,,,,,1622,11134
2017,タイ,,KG,,,,,5975,30948
2017,シンガポール,,KG,,,,,4209,14710
2017,マレーシア,,KG,,,,,544,2722
2017,インドネシア,,KG,,,,,144,1297
2017,ラオス,,KG,,,,,14982,104080
2017,ミャンマー,,KG,,,,,924,2888
2017,バングラデシュ,,KG,,,,,265,2041
2017,マカオ,,KG,,,,,2241,19215
2017,カタール,,KG,,,,,367,3554
2017,アラブ首長国連邦,,KG,,,,,577,4597
2017,アメリカ合衆国,,KG,,,,,2934,10727
2017,グアム（米）,,KG,,,,,106,964
2017,北マリアナ諸島（米）,,KG,,,,,29,233
