year,country,amount,value
2012,香港,194142,925824
2012,タイ,7212,45767
2012,シンガポール,55127,337623
2012,マカオ,15023,123373
2012,カナダ,3174,25290
2012,アメリカ合衆国,43774,328201
2012,モンゴル,34,293
2012,香港,100583,533451
2012,タイ,7546,40131
2012,シンガポール,8347,42404
2012,フィリピン,53,316
2012,カンボジア,250663,1508910
2012,ラオス,158684,1088460
2012,バングラデシュ,22379,137911
2012,マカオ,75882,513988
2012,アラブ首長国連邦,469,3916
2012,タジキスタン,1957,14253
2013,香港,206848,1084454
2013,タイ,18906,112785
2013,シンガポール,80810,520880
2013,ラオス,100,271
2013,マカオ,13499,129795
2013,オランダ,75,566
2013,ドイツ,97,1196
2013,スペイン,94,887
2013,カナダ,6782,57355
2013,アメリカ合衆国,116888,908666
2013,メキシコ,277,2143
2013,バングラデシュ,3104,18588
2013,アラブ首長国連邦,718,1758
2013,モンゴル,80036,534380
2013,香港,91501,535848
2013,タイ,20394,117921
2013,シンガポール,11481,65343
2013,フィリピン,56,424
2013,カンボジア,182457,1263943
2013,ラオス,20285,148740
2013,バングラデシュ,13988,81457
2013,マカオ,42619,292015
2013,クウェート,209,1049
2013,ヨルダン,6,312
2013,アラブ首長国連邦,624,4923
2013,タジキスタン,3657,28422
2013,ミクロネシア,147,684
2014,香港,270627,1357970
2014,ベトナム,3578,18223
2014,タイ,35125,218064
2014,シンガポール,115643,702491
2014,フィリピン,5483,39157
2014,インドネシア,1211,5529
2014,マカオ,15175,149863
2014,アラブ首長国連邦,1264,11439
2014,デンマーク,95,890
2014,英国,17693,150086
2014,オランダ,19092,147245
2014,ベルギー,5550,51016
2014,フランス,1879,14518
2014,モナコ,11626,117842
2014,ドイツ,20416,195104
2014,スイス,1337,21020
2014,スペイン,1037,7915
2014,イタリア,176,1802
2014,ロシア,247,2005
2014,カナダ,9551,86256
2014,アメリカ合衆国,166042,1350614
2014,メキシコ,1537,11227
2014,ニュージーランド,2128,16275
2014,モンゴル,29208,198410
2014,香港,166890,963718
2014,ベトナム,13150,76299
2014,タイ,43110,232027
2014,シンガポール,22064,131854
2014,フィリピン,333,2084
2014,カンボジア,247634,1701856
2014,ラオス,10827,67762
2014,ミャンマー,293,1273
2014,バングラデシュ,4439,27363
2014,マカオ,41177,258578
2014,カタール,2240,9432
2014,アラブ首長国連邦,2854,17021
2014,タジキスタン,71420,501637
2014,アメリカ合衆国,722,2347
2014,ミクロネシア,203,978
2015,香港,351,1574
2015,香港,358009,2006313
2015,ベトナム,2246,16907
2015,タイ,33790,211293
2015,シンガポール,132682,913317
2015,フィリピン,11708,98989
2015,マカオ,9882,86465
2015,アラブ首長国連邦,954,4924
2015,デンマーク,389,3125
2015,英国,43469,383058
2015,オランダ,38888,375232
2015,ベルギー,10680,108537
2015,フランス,5134,38095
2015,ドイツ,20111,191392
2015,スイス,1334,17748
2015,イタリア,2233,21200
2015,ロシア,1999,16279
2015,カナダ,12587,117799
2015,アメリカ合衆国,207154,1770255
2015,メキシコ,606,5358
2015,ニュージーランド,3008,24719
2015,香港,114,601
2015,タイ,109,1034
2015,アラブ首長国連邦,332,2970
2015,モンゴル,24381,197079
2015,香港,145475,881358
2015,ベトナム,22341,159914
2015,タイ,86915,559051
2015,シンガポール,36158,163958
2015,フィリピン,1151,7873
2015,インドネシア,1085,9863
2015,カンボジア,206811,1525178
2015,ラオス,18374,90687
2015,ミャンマー,750,3689
2015,バングラデシュ,8310,56221
2015,マカオ,59172,455432
2015,カタール,649,11639
2015,アラブ首長国連邦,10159,75586
2015,タジキスタン,56858,380159
2015,ドイツ,90,754
2015,イタリア,49,590
2015,アメリカ合衆国,6423,30541
2015,ブラジル,31,395
2015,ミクロネシア,85,360
2015,北マリアナ諸島（米）,86,737
2016,香港,97,675
2016,香港,325396,1915446
2016,ベトナム,1547,10988
2016,タイ,29493,179670
2016,シンガポール,109065,727679
2016,フィリピン,9067,76190
2016,マカオ,10232,87425
2016,アラブ首長国連邦,1469,11781
2016,デンマーク,1078,15360
2016,英国,37556,337469
2016,オランダ,28814,295322
2016,ベルギー,10848,100697
2016,フランス,3702,32896
2016,ドイツ,14725,143918
2016,スイス,970,9626
2016,イタリア,3083,28541
2016,ロシア,2390,19621
2016,カナダ,11720,121910
2016,アメリカ合衆国,189726,1660505
2016,メキシコ,980,9027
2016,ニュージーランド,2672,21708
2016,香港,45108,350722
2016,ベトナム,369,2430
2016,タイ,4296,36607
2016,シンガポール,20589,174637
2016,フィリピン,1538,13265
2016,マカオ,3626,34102
2016,アラブ首長国連邦,1027,11377
2016,デンマーク,300,5156
2016,英国,5395,49423
2016,オランダ,6445,80202
2016,ベルギー,4011,42988
2016,フランス,1010,8792
2016,ドイツ,2036,19301
2016,スイス,45,720
2016,イタリア,874,9441
2016,ロシア,236,2439
2016,カナダ,3736,38188
2016,アメリカ合衆国,58882,563007
2016,メキシコ,385,3653
2016,ニュージーランド,1003,7739
2016,香港,35404,159764
2016,ベトナム,436,1887
2016,タイ,2952,15078
2016,シンガポール,6386,31819
2016,フィリピン,475,2664
2016,ミャンマー,302,940
2016,マカオ,54,230
2016,アラブ首長国連邦,225,861
2016,デンマーク,100,480
2016,英国,1106,5855
2016,オランダ,1179,7508
2016,ベルギー,417,3277
2016,ドイツ,357,1757
2016,イタリア,217,1599
2016,ロシア,341,2252
2016,カナダ,775,5571
2016,アメリカ合衆国,5471,33307
2016,メキシコ,42,270
2016,香港,10296,37894
2016,ベトナム,118,446
2016,タイ,1341,5353
2016,シンガポール,2110,8507
2016,ミャンマー,90,363
2016,マカオ,63,252
2016,アラブ首長国連邦,102,245
2016,英国,186,809
2016,オランダ,257,1481
2016,ベルギー,307,1252
2016,ドイツ,88,558
2016,イタリア,60,308
2016,ロシア,48,310
2016,アメリカ合衆国,996,5113
2016,香港,4834,21479
2016,ベトナム,429,1609
2016,タイ,986,10380
2016,シンガポール,2531,20430
2016,フィリピン,478,4693
2016,ミャンマー,80,216
2016,マカオ,150,2546
2016,アラブ首長国連邦,1003,7916
2016,デンマーク,285,2722
2016,英国,242,2044
2016,オランダ,1270,12230
2016,ドイツ,246,2151
2016,スイス,233,1693
2016,イタリア,76,657
2016,ロシア,36,294
2016,カナダ,471,4583
2016,アメリカ合衆国,2800,22885
2016,メキシコ,208,1941
2016,モンゴル,14060,106561
2016,香港,225625,1453315
2016,ベトナム,25540,176516
2016,タイ,63140,391309
2016,シンガポール,32172,111911
2016,フィリピン,1134,10653
2016,インドネシア,2305,13614
2016,カンボジア,326276,2345287
2016,ラオス,18194,144015
2016,ミャンマー,960,5944
2016,マカオ,42603,336837
2016,カタール,547,6347
2016,アラブ首長国連邦,7911,70888
2016,タジキスタン,19999,164191
2016,ドイツ,308,2178
2016,ロシア,378,1312
2016,アメリカ合衆国,6196,46978
2016,ブラジル,35,706
2016,ニュージーランド,251,2448
2016,グアム（米）,356,3091
2016,北マリアナ諸島（米）,262,2207
2016,モンゴル,302,2666
2016,香港,56441,399831
2016,ベトナム,3511,31486
2016,タイ,14468,116202
2016,シンガポール,2615,18290
2016,フィリピン,925,6618
2016,インドネシア,156,780
2016,カンボジア,71514,539995
2016,ラオス,7467,46670
2016,マカオ,2893,26826
2016,カタール,125,1809
2016,アラブ首長国連邦,1189,14520
2016,タジキスタン,3242,29963
2016,ドイツ,190,1618
2016,アメリカ合衆国,959,7899
2016,メキシコ,24,260
2016,ニュージーランド,103,988
2016,グアム（米）,491,5496
2016,北マリアナ諸島（米）,280,2659
2016,香港,10667,46843
2016,ベトナム,394,1841
2016,タイ,6661,28143
2016,シンガポール,594,3112
2016,フィリピン,204,1086
2016,インドネシア,245,1274
2016,カンボジア,9306,62813
2016,マカオ,320,3847
2016,カタール,169,1523
2016,アラブ首長国連邦,3822,23005
2016,タジキスタン,360,1549
2016,ドイツ,62,416
2016,カナダ,39,220
2016,アメリカ合衆国,653,3075
2016,香港,2879,14408
2016,ベトナム,430,2610
2016,タイ,4327,19343
2016,シンガポール,371,1072
2016,フィリピン,274,1552
2016,カンボジア,3371,24398
2016,アラブ首長国連邦,2331,11321
2016,タジキスタン,336,1849
2016,アメリカ合衆国,130,658
2016,香港,2558,17169
2016,ベトナム,127,1090
2016,タイ,1707,10265
2016,シンガポール,1307,4152
2016,フィリピン,185,957
2016,マカオ,56,410
2016,カタール,18,253
2016,アラブ首長国連邦,1526,9924
2016,ドイツ,83,633
2016,アメリカ合衆国,210,1373
2016,グアム（米）,207,2353
2017,香港,716,2404
2017,タイ,126,945
2017,アラブ首長国連邦,642,6741
2017,台湾,94121,857947
